Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression (Original),0.7305,0.7513935340022296,0.6808080808080809,0.7143614202437731,0.7915246524652464
Logistic Regression (Standardized),0.7305,0.7508342602892102,0.6818181818181818,0.7146638433033351,0.7914996499649966
SVM (Original),0.7155,0.7527010804321729,0.6333333333333333,0.6878771256171147,0.7847789778977897
SVM (Standardized),0.7245,0.73475935828877,0.693939393939394,0.7137662337662337,0.7905385538553855
Neural Network (Standardized),0.7235,0.7245632065775951,0.7121212121212122,0.7182883341823739,0.7971012101210122
Neural Network (MinMax),0.724,0.7438752783964365,0.6747474747474748,0.7076271186440678,0.7925117511751174
